Fuel Type Code,Street Address,Intersection Directions,City,ZIP,Plus4,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW)
ELEC,14160 Mountain House Rd,,Hopland,95449,,Public,,,3,,200-9,38.959887,-123.115359,7/1/24,113024,2025-01-09 17:57:07 UTC,P,,,5/5/15,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,14160 Mountain House Rd,,Hopland,95449,,Public,,,3,,200-9,38.959887,-123.115359,7/1/24,113024,2025-01-09 17:57:07 UTC,P,,,5/5/15,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,14160 Mountain House Rd,,Hopland,95449,,Public,,,3,,200-9,38.959887,-123.115359,7/1/24,113024,2025-01-09 17:57:07 UTC,P,,,5/5/15,,,,,J1772 TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,1,,0,,0,,0,
ELEC,12938 Sir Francis Drake Blvd,,Inverness,94937,,Public,,,4,,200-9,38.107042,-122.862711,7/1/24,113033,2025-01-09 17:57:07 UTC,P,,,10/21/16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,12938 Sir Francis Drake Blvd,,Inverness,94937,,Public,,,4,,200-9,38.107042,-122.862711,7/1/24,113033,2025-01-09 17:57:07 UTC,P,,,10/21/16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,12938 Sir Francis Drake Blvd,,Inverness,94937,,Public,,,4,,200-9,38.107042,-122.862711,7/1/24,113033,2025-01-09 17:57:07 UTC,P,,,10/21/16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,12938 Sir Francis Drake Blvd,,Inverness,94937,,Public,,,4,,200-9,38.107042,-122.862711,7/1/24,113033,2025-01-09 17:57:07 UTC,P,,,10/21/16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,1,,0,,0,,0,
ELEC,233 Adobe Canyon Rd,,Kenwood,95452,,Public,,,1,,200-9,38.428521,-122.555443,7/1/24,113044,2025-01-09 17:57:07 UTC,P,,,1/23/17,,,,,TESLA,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,2505 W Turner Rd,,Lodi,95242,,Public,,,3,,200-9,38.146279,-121.307198,7/1/24,113069,2025-01-09 17:57:07 UTC,P,,,12/27/16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
ELEC,2505 W Turner Rd,,Lodi,95242,,Public,,,3,,200-9,38.146279,-121.307198,7/1/24,113069,2025-01-09 17:57:07 UTC,P,,,12/27/16,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,0,,0,,0,,1,
